model,candidates,precision@1,recall@1,hit_rate@1,ndcg@1,precision@3,recall@3,hit_rate@3,ndcg@3,precision@5,recall@5,hit_rate@5,ndcg@5
baseline_logistic_regression,750,0.06266666666666666,0.06266666666666666,0.06266666666666666,0.06266666666666666,0.06266666666666666,0.188,0.188,0.13353826455714465,0.06266666666666666,0.31333333333333335,0.31333333333333335,0.18477010478310854
hist_gradient_boosting,750,0.704,0.704,0.704,0.7053333333333334,0.28044444444444444,0.8413333333333334,0.8413333333333334,0.7837760882666689,0.1936,0.968,0.968,0.8350079284926326
random_forest,750,1.0,1.0,1.0,0.9993333333333333,0.3333333333333333,1.0,1.0,0.9997539531690476,0.2,1.0,1.0,0.9997539531690476
