model,candidates,precision@1,recall@1,hit_rate@1,ndcg@1,precision@3,recall@3,hit_rate@3,ndcg@3,precision@5,recall@5,hit_rate@5,ndcg@5,rank
random_forest,750,1.0,1.0,1.0,0.9993333333333332,0.3333333333333333,1.0,1.0,0.9997539531690476,0.2,1.0,1.0,0.9997539531690476,1
hist_gradient_boosting,750,0.704,0.704,0.704,0.7053333333333334,0.2804444444444444,0.8413333333333334,0.8413333333333334,0.7837760882666689,0.1936,0.968,0.968,0.8350079284926326,2
baseline_logistic_regression,750,0.0626666666666666,0.0626666666666666,0.0626666666666666,0.0626666666666666,0.0626666666666666,0.188,0.188,0.1335382645571446,0.0626666666666666,0.3133333333333333,0.3133333333333333,0.1847701047831085,3
